module_id,topic_id,concept_tag,question_family,n_questions
cumulative_review,final_review,binomial_setting,cumulative_mix,6
cumulative_review,final_review,sampling_bias,cumulative_mix,6
cumulative_review,final_review,p_value_interpretation,cumulative_mix,5
cumulative_review,final_review,parameter_statistic,cumulative_mix,5
cumulative_review,final_review,probability_rules,cumulative_mix,5
cumulative_review,final_review,resistant_measures,cumulative_mix,4
cumulative_review,final_review,z_score_interpretation,cumulative_mix,4
cumulative_review,final_review,causation_lurking,cumulative_mix,3
cumulative_review,final_review,confidence_level,cumulative_mix,3
cumulative_review,final_review,variable_classification,cumulative_mix,3
cumulative_review,final_review,statistical_vs_practical_significance,cumulative_mix,1
module_1,data_graphs,graph_selection,graph_choice,8
module_1,data_graphs,variable_classification,categorical_vs_quantitative,6
module_1,data_graphs,distribution_shape_description,shape_center_spread,4
module_1,data_graphs,graph_selection,extra_context_practice,4
module_1,data_graphs,graph_selection,graph_choice_visual,2
module_1,data_graphs,time_plots,time_plot,1
module_1,data_graphs,variable_classification,contextual_review,1
module_1,data_graphs,variable_classification,variable_classification,1
module_1,descriptive_stats,descriptive_summaries,summary_measure_selection,5
module_1,descriptive_stats,center_spread,extra_context_practice,4
module_1,descriptive_stats,skewness_outliers,extra_context_practice,4
module_1,descriptive_stats,outliers_boxplots,boxplot_visual,1
module_1,descriptive_stats,resistant_measures,contextual_review,1
module_1,descriptive_stats,resistant_measures,mean_median_skew_visual,1
module_1,descriptive_stats,resistant_measures,resistant_measures,1
module_1,descriptive_stats,spread_iqr,spread_summary,1
module_2,relationships_regression,association_direction,scatterplot_direction,6
module_2,relationships_regression,correlation_facts,correlation_properties,5
module_2,relationships_regression,association_strength,correlation,4
module_2,relationships_regression,correlation_facts,extra_context_practice,4
module_2,relationships_regression,lurking_variables,extra_context_practice,4
module_2,relationships_regression,regression_interpretation,regression_basics,4
module_2,relationships_regression,residuals,extra_context_practice,4
module_2,relationships_regression,residuals,residuals,4
module_2,relationships_regression,association_causation,causation,3
module_2,relationships_regression,association_causation,causation_lurking,1
module_2,relationships_regression,causation_lurking,contextual_review,1
module_2,relationships_regression,correlation_interpretation,scatterplot_visual,1
module_2,relationships_regression,explanatory_response,scatterplot_roles,1
module_2,relationships_regression,regression_slope,regression,1
module_2,relationships_regression,regression_slope,regression_basics,1
module_2,relationships_regression,residuals,residual_visual,1
module_3,producing_data,observational_vs_experiment,study_design,7
module_3,producing_data,sampling_bias,sampling,5
module_3,producing_data,bias,extra_context_practice,4
module_3,producing_data,experimental_design,experiment_terms,4
module_3,producing_data,experimental_design,extra_context_practice,4
module_3,producing_data,sampling_design,extra_context_practice,4
module_3,producing_data,sampling_design,sampling_bias,4
module_3,producing_data,observational_vs_experiment,study_design_type,3
module_3,producing_data,control_group,experiments,2
module_3,producing_data,blinding_placebo,experimental_design,1
module_3,producing_data,blocking,experimental_design,1
module_3,producing_data,experimental_design,experiment_visual,1
module_3,producing_data,random_assignment,experimental_design,1
module_3,producing_data,random_assignment,experiments,1
module_3,producing_data,sampling_bias,contextual_review,1
module_3,producing_data,sampling_bias,sampling_bias,1
module_3,producing_data,simple_random_sample,sampling_design,1
