module_id,has_visual,visual_id,n
cumulative_review,FALSE,NA,45
module_1,TRUE,mean_vs_median_skew,1
module_1,TRUE,outlier_boxplot,1
module_1,TRUE,recreated_bar_chart_categorical,1
module_1,TRUE,recreated_histogram_quantitative,1
module_1,FALSE,NA,41
module_2,TRUE,recreated_scatterplot_association,1
module_2,TRUE,regression_residual_plot,1
module_2,FALSE,NA,43
module_3,TRUE,experiment_randomization_diagram,1
module_3,FALSE,NA,44
module_4,FALSE,NA,45
module_5,TRUE,binomial_distribution_bars,1
module_5,TRUE,recreated_standard_normal_curve,1
module_5,FALSE,NA,43
module_6,TRUE,sampling_distribution_clt,1
module_6,FALSE,NA,44
module_7,TRUE,recreated_confidence_interval_number_line,1
module_7,FALSE,NA,44
module_8,TRUE,recreated_p_value_tail_area,1
module_8,FALSE,NA,44
module_9,TRUE,comparing_groups_boxplots,1
module_9,FALSE,NA,44
